,ts,MAPE
13,0.08,0.2436785232759846
25,0.08,0.24339368487631882
98,0.12,0.24303718751864128
3,0.06,0.242858722670789
30,0.14,0.2428213495830801
94,0.47,0.24278502630717
81,0.09,0.2424946821436072
82,0.11,0.24246484754739975
52,0.9,0.2424471610961649
65,0.19,0.24244481839857845
39,0.52,0.24244210316264805
55,0.88,0.24243636909209204
92,0.16,0.24241685407764912
67,0.24,0.24232944850195667
11,0.24,0.24228956402291316
96,0.82,0.2422793895239973
73,0.05,0.24226718585123497
36,0.35,0.24226519336639657
53,0.05,0.2422358755221293
40,0.7,0.242223704374607
14,0.39,0.24220612618826343
69,0.74,0.24216608321673372
27,0.23,0.24210575266458326
61,0.77,0.24210051904024002
87,0.91,0.24209466335780974
80,0.44,0.2420927083601342
68,0.21,0.2420828134403015
75,0.62,0.24207316051752692
41,0.79,0.24205539767995365
90,0.79,0.24205340118110116
45,0.38,0.24205050838082426
64,0.56,0.2420496826374031
97,0.53,0.24204475742385245
4,0.67,0.2420369383942174
44,0.93,0.24203409959786207
6,0.43,0.24198994996888948
95,0.42,0.2419840448870781
5,0.69,0.24196040303314767
72,0.51,0.24195254488661092
31,0.8,0.24191166120743576
60,0.54,0.24191006695049438
83,0.82,0.241896165835673
93,0.7,0.2418797661374797
1,0.36,0.24187610598863307
46,0.94,0.2418730203352929
63,0.66,0.2418718455658673
86,0.76,0.2418689969412439
74,0.25,0.24186028997407355
16,0.56,0.2418601425549547
71,0.63,0.24181548927082805
18,0.68,0.24181539351914377
33,0.24,0.24181307671310628
15,0.43,0.24179764768591178
77,0.15,0.2417966031045768
9,0.24,0.2417941218262647
58,0.44,0.24173375371182534
10,0.44,0.24173350733877316
54,0.52,0.24173256136510046
48,0.77,0.2417275499076193
21,0.73,0.24171798556908738
47,0.74,0.2417178312239781
0,0.22,0.2417047018833034
42,0.46,0.24170320197480566
7,0.34,0.24170187080021704
85,0.31,0.2416875597400328
89,0.54,0.24167635395819784
59,0.83,0.24166844720737402
79,0.73,0.24164803598607495
19,0.81,0.24164735774806775
37,0.76,0.24163913035899937
84,0.1,0.24162704880242752
20,0.42,0.24161842669989525
99,0.55,0.24160966713932747
23,0.83,0.24160131570695934
24,0.74,0.2415950321103093
66,0.47,0.24158347740809383
32,0.44,0.24157027374959336
76,0.15,0.24156745358200907
12,0.35,0.24154304440016625
28,0.13,0.24153661195670784
22,0.91,0.2415243495363058
26,0.64,0.2415099493611637
38,0.28,0.24149228301944692
49,0.48,0.24148684124568365
57,0.6,0.24147295057805526
29,0.42,0.24147224460006464
34,0.82,0.2414020096072815
78,0.42,0.2413644491295686
2,0.94,0.24134632337191167
35,0.67,0.24132175741865766
70,0.19,0.24130720926841726
50,0.47,0.24130618582823687
88,0.47,0.2412964444161718
51,0.7,0.24122913130437543
8,0.21,0.24112550123862908
62,0.07,0.24094156844330297
17,0.28,0.24084974405283535
91,0.36,0.24070417175899697
56,0.22,0.24057696325214925
43,0.2,0.24056761929692444
